_id,nome,latitude,longitude
1,Albergue Piratas da Praia Hostel,-8.107019,-34.889533
2,Boa Viagem Hostel,-8.110046,-34.894322
3,Imperial Suítes Flat,-8.117141,-34.901665
4,MercureAptMetrópolis,-8.064499,-34.894286
5,MercureApt Navegantes Residence Hotel,-8.118182,-34.894833
6,TulipInn Recife Flat,-8.139897,-34.905175
7,Park Way Home Service,-8.123057,-34.901298
8,Atlante Plaza,-8.136259,-34.90194
9,Best Western Manibu Recife Hotel,-8.098362,-34.885681
10,Boa Viagem Praia H.W.F.,-8.137725,-34.90228
